r,value
AL,0.32964669836762
AK,0.32964669836762
AR,0.32964669836762
AZ,0.32964669836762
CA,0.32964669836762
CO,0.32964669836762
CT,0.32964669836762
DE,0.32964669836762
DC,0.32964669836762
FL,0.32964669836762
GA,0.32964669836762
HI,0.32964669836762
ID,0.32964669836762
IL,0.32964669836762
IN,0.32964669836762
IA,0.32964669836762
KS,0.32964669836762
KY,0.32964669836762
LA,0.32964669836762
ME,0.32964669836762
MD,0.32964669836762
MA,0.32964669836762
MI,0.32964669836762
MN,0.32964669836762
MS,0.32964669836762
MO,0.32964669836762
MT,0.32964669836762
NE,0.32964669836762
NV,0.32964669836762
NH,0.32964669836762
NJ,0.32964669836762
NM,0.32964669836762
NY,0.32964669836762
NC,0.32964669836762
ND,0.32964669836762
OH,0.32964669836762
OK,0.32964669836762
OR,0.32964669836762
PA,0.32964669836762
RI,0.32964669836762
SC,0.32964669836762
SD,0.32964669836762
TN,0.32964669836762
TX,0.32964669836762
UT,0.32964669836762
VT,0.32964669836762
VA,0.32964669836762
WA,0.32964669836762
WV,0.32964669836762
WI,0.32964669836762
WY,0.32964669836762
