r,h,value
AL,hh1,-0.0693505267306713
AL,hh2,0.036120134572259
AL,hh3,0.0723489675478825
AL,hh4,0.0998048591683874
AL,hh5,0.200889401755678
AK,hh1,-0.0759783815092339
AK,hh2,0.0110051589386602
AK,hh3,0.0554930724206202
AK,hh4,0.0808966563480631
AK,hh5,0.161863618284957
AR,hh1,-0.0986600943041618
AR,hh2,0.0323650976810448
AR,hh3,0.0713322370056283
AR,hh4,0.102467450738434
AR,hh5,0.245743898867048
AZ,hh1,-0.102558980847002
AZ,hh2,0.0129891113654273
AZ,hh3,0.0679721052745268
AZ,hh4,0.095642818827272
AZ,hh5,0.205753379768552
CA,hh1,-0.126471180964775
CA,hh2,0.00119250304932706
CA,hh3,0.0586643577884834
CA,hh4,0.0947867954574844
CA,hh5,0.224799145894266
CO,hh1,-0.0603630062565605
CO,hh2,0.0378105085919871
CO,hh3,0.0773465782964075
CO,hh4,0.10472752313583
CO,hh5,0.209938062794733
CT,hh1,-0.136712528695782
CT,hh2,0.0214640786380774
CT,hh3,0.0698249312024288
CT,hh4,0.108066807239802
CT,hh5,0.212978711612213
DE,hh1,-0.105302026487359
DE,hh2,0.0403093273460292
DE,hh3,0.0792808597086257
DE,hh4,0.100448799945777
DE,hh5,0.198900469476183
DC,hh1,-0.126940979990951
DC,hh2,0.04580457390168
DC,hh3,0.112174757885882
DC,hh4,0.13885267000525
DC,hh5,0.241598946461729
FL,hh1,-0.0918450802052667
FL,hh2,0.0177656198664389
FL,hh3,0.0504476054294822
FL,hh4,0.0734410842610265
FL,hh5,0.175067123938057
GA,hh1,-0.0897143523623146
GA,hh2,0.0281477361733205
GA,hh3,0.0812447402121732
GA,hh4,0.108862669539691
GA,hh5,0.221633827197418
HI,hh1,-0.0786700194924519
HI,hh2,0.0228845901978219
HI,hh3,0.070954899453577
HI,hh4,0.107446007879233
HI,hh5,0.18826770030111
ID,hh1,-0.111623396275079
ID,hh2,0.000308078523828516
ID,hh3,0.0600938978865655
ID,hh4,0.102155811992015
ID,hh5,0.225886969216459
IL,hh1,-0.0879304056925408
IL,hh2,0.0427203832282434
IL,hh3,0.0811124392962158
IL,hh4,0.103324265588109
IL,hh5,0.200393320300147
IN,hh1,-0.0469962706648833
IN,hh2,0.0329366544106264
IN,hh3,0.0678560217744049
IN,hh4,0.100042056254109
IN,hh5,0.215596536982822
IA,hh1,-0.133990645676707
IA,hh2,0.0371517747446977
IA,hh3,0.0774981898952792
IA,hh4,0.105655904583513
IA,hh5,0.223620153320854
KS,hh1,-0.120709309575397
KS,hh2,0.0218877610540076
KS,hh3,0.0663849763187913
KS,hh4,0.0975336465246488
KS,hh5,0.204538712612611
KY,hh1,-0.0618572824297349
KY,hh2,0.0413861749107775
KY,hh3,0.0773198977367269
KY,hh4,0.109678013553497
KY,hh5,0.196116309585648
LA,hh1,-0.0854731023667162
LA,hh2,0.0289121902777106
LA,hh3,0.0791426039086759
LA,hh4,0.0959506091445599
LA,hh5,0.190973807353197
ME,hh1,-0.0434887406155471
ME,hh2,0.0325239733517379
ME,hh3,0.0704152141133074
ME,hh4,0.105382550934884
ME,hh5,0.221055495810936
MD,hh1,-0.114911254111973
MD,hh2,0.0168907624602823
MD,hh3,0.0831418183859566
MD,hh4,0.108330895618761
MD,hh5,0.209121329137568
MA,hh1,-0.0775367594524173
MA,hh2,0.0324661748070143
MA,hh3,0.085624700251202
MA,hh4,0.110147100579897
MA,hh5,0.196331420559011
MI,hh1,-0.0810336709001667
MI,hh2,0.0347697095837394
MI,hh3,0.0740271865119576
MI,hh4,0.0997313265341034
MI,hh5,0.188367522936088
MN,hh1,-0.0997575967661767
MN,hh2,0.0240540846003182
MN,hh3,0.0728600349917576
MN,hh4,0.104600917309816
MN,hh5,0.204718341201406
MS,hh1,-0.101970153760869
MS,hh2,0.0217266909493675
MS,hh3,0.0691270769561786
MS,hh4,0.100346530869366
MS,hh5,0.187087020707522
MO,hh1,-0.0739734788469167
MO,hh2,0.0208181587931774
MO,hh3,0.0748562341057657
MO,hh4,0.0994142708063955
MO,hh5,0.215520449544751
MT,hh1,-0.0915243780284
MT,hh2,0.038220111671796
MT,hh3,0.0702004054658295
MT,hh4,0.109118559861868
MT,hh5,0.199622910376924
NE,hh1,-0.0650879321092178
NE,hh2,0.0319033885887933
NE,hh3,0.0675898460665467
NE,hh4,0.0987971518304698
NE,hh5,0.198132789279045
NV,hh1,-0.0593443887292681
NV,hh2,0.00867646700092563
NV,hh3,0.0453227339314488
NV,hh4,0.0695172704749333
NV,hh5,0.171049838989809
NH,hh1,-0.142796346918405
NH,hh2,0.0117141917838793
NH,hh3,0.0528945146025962
NH,hh4,0.0826990519037753
NH,hh5,0.144895603248033
NJ,hh1,-0.112614724446012
NJ,hh2,0.0152969667239519
NJ,hh3,0.0749302202703334
NJ,hh4,0.0928059241717656
NJ,hh5,0.205426824424976
NM,hh1,-0.119226661677586
NM,hh2,0.000819226960034205
NM,hh3,0.0670230995196133
NM,hh4,0.101752696563083
NM,hh5,0.266000737568782
NY,hh1,-0.1422476742729
NY,hh2,0.0258655492805785
NY,hh3,0.0844588787853163
NY,hh4,0.116141697938618
NY,hh5,0.226062999510523
NC,hh1,-0.0932449536367262
NC,hh2,0.0435187235092282
NC,hh3,0.0819168998619987
NC,hh4,0.111780517075694
NC,hh5,0.22548339326588
ND,hh1,-0.0646824062914415
ND,hh2,0.040951847297558
ND,hh3,0.0510972344751282
ND,hh4,0.0884363332284443
ND,hh5,0.1942647578007
OH,hh1,-0.069913132910439
OH,hh2,0.0222857247605391
OH,hh3,0.0671531945294457
OH,hh4,0.0960051407935851
OH,hh5,0.197036866796973
OK,hh1,-0.124645617272351
OK,hh2,0.0191109585650183
OK,hh3,0.0745608491619324
OK,hh4,0.101090185213364
OK,hh5,0.217458550691501
OR,hh1,-0.0542481626819638
OR,hh2,0.0259406531983433
OR,hh3,0.0848685666416733
OR,hh4,0.119977937894942
OR,hh5,0.235736546354567
PA,hh1,-0.117717189018829
PA,hh2,0.0359310443795892
PA,hh3,0.0738318936307591
PA,hh4,0.100210459129434
PA,hh5,0.190197716731231
RI,hh1,-0.126945741130883
RI,hh2,0.0186455907021641
RI,hh3,0.0827160986177124
RI,hh4,0.0990924400701879
RI,hh5,0.190595787839184
SC,hh1,-0.0841985163448934
SC,hh2,0.0260473063644025
SC,hh3,0.0822844488722723
SC,hh4,0.106017382115707
SC,hh5,0.267238782918465
SD,hh1,-0.0430057458728526
SD,hh2,0.00952507846154241
SD,hh3,0.0421448002373305
SD,hh4,0.0714454327020266
SD,hh5,0.180320929446402
TN,hh1,-0.0860561068153857
TN,hh2,0.000733579822181934
TN,hh3,0.0504991262484082
TN,hh4,0.0745061979644906
TN,hh5,0.181510512425454
TX,hh1,-0.133215096129218
TX,hh2,0.00857180735107763
TX,hh3,0.0496090919564313
TX,hh4,0.0733696253873805
TX,hh5,0.173494981786911
UT,hh1,-0.0805030510975605
UT,hh2,0.00111337422185694
UT,hh3,0.0647566342444708
UT,hh4,0.101089529736297
UT,hh5,0.177131288773429
VT,hh1,-0.0773125347773632
VT,hh2,0.0371716194185844
VT,hh3,0.072720330442068
VT,hh4,0.104778666925818
VT,hh5,0.226667246025384
VA,hh1,-0.0787826346097693
VA,hh2,0.0245349409349374
VA,hh3,0.0789421650479217
VA,hh4,0.110284309059633
VA,hh5,0.214565045764522
WA,hh1,-0.118560623647782
WA,hh2,0.0147048309493167
WA,hh3,0.0535568523221817
WA,hh4,0.0846741269767601
WA,hh5,0.17637313550223
WV,hh1,-0.0710072746623073
WV,hh2,0.0355770421135871
WV,hh3,0.0740253014248868
WV,hh4,0.110674105461581
WV,hh5,0.205647006273553
WI,hh1,-0.125283362266489
WI,hh2,0.0365642743663908
WI,hh3,0.0778819811165967
WI,hh4,0.105017343816693
WI,hh5,0.220059610050732
WY,hh1,-0.0577942583649969
WY,hh2,0.0109883583326474
WY,hh3,0.0490960501636544
WY,hh4,0.0817144058820547
WY,hh5,0.156457736175148
